text,label
วันนี้รถติดมาก,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
อยากรู้สภาพอากาศวันนี้,0
ช่วยแนะนำที่เที่ยวหน่อย,0
รถล้ม เจ็บนิดหน่อย แต่ต้องการความช่วยเหลือ,1
ถูกทำร้ายร่างกาย ขอความช่วยเหลือด่วน,2
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
วันนี้รถติดมาก,0
พบคนเดินหลงทาง,1
อยากรู้สภาพอากาศวันนี้,0
สอบถามเรื่องการจัดส่งสินค้า,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
อยากรู้สภาพอากาศวันนี้,0
ช่วยแนะนำที่เที่ยวหน่อย,0
มีคนทะเลาะกันเสียงดังมาก,1
มีคนหมดสติไม่หายใจ,2
อยากรู้สภาพอากาศวันนี้,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
เด็กจมน้ำ รีบช่วยที,2
ไฟดับทั้งหมู่บ้าน,1
พบคนเดินหลงทาง,1
สอบถามเรื่องการจัดส่งสินค้า,0
ร้านเปิดกี่โมงครับ,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
มีคนกำลังจะกระโดดจากตึก,2
ไฟดับทั้งหมู่บ้าน,1
เลือดไหลไม่หยุด ช่วยด้วย,2
ช่วยแนะนำที่เที่ยวหน่อย,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ช่วยแนะนำที่เที่ยวหน่อย,0
ร้านเปิดกี่โมงครับ,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
ได้ยินเสียงปืนแถวบ้าน,2
ไฟดับทั้งหมู่บ้าน,1
ได้ยินเสียงร้องขอความช่วยเหลือเบาๆ,1
อยากรู้สภาพอากาศวันนี้,0
ควันออกจากรถ ไม่แน่ใจว่าเป็นอะไร,1
ไฟดับทั้งหมู่บ้าน,1
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ไฟดับทั้งหมู่บ้าน,1
สอบถามเรื่องการจัดส่งสินค้า,0
หมาหาย ช่วยตามหาให้หน่อย,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ร้านเปิดกี่โมงครับ,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
สอบถามเรื่องการจัดส่งสินค้า,0
รถล้ม เจ็บนิดหน่อย แต่ต้องการความช่วยเหลือ,1
สอบถามเรื่องการจัดส่งสินค้า,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
รถล้ม เจ็บนิดหน่อย แต่ต้องการความช่วยเหลือ,1
อยากรู้สภาพอากาศวันนี้,0
สอบถามเรื่องการจัดส่งสินค้า,0
ไฟดับทั้งหมู่บ้าน,1
ไฟดับทั้งหมู่บ้าน,1
ช่วยแนะนำที่เที่ยวหน่อย,0
รถล้ม เจ็บนิดหน่อย แต่ต้องการความช่วยเหลือ,1
อยากรู้สภาพอากาศวันนี้,0
หมาหาย ช่วยตามหาให้หน่อย,0
ควันออกจากรถ ไม่แน่ใจว่าเป็นอะไร,1
รถล้ม เจ็บนิดหน่อย แต่ต้องการความช่วยเหลือ,1
ได้ยินเสียงปืนแถวบ้าน,2
ควันออกจากรถ ไม่แน่ใจว่าเป็นอะไร,1
ช่วยแนะนำที่เที่ยวหน่อย,0
มีคนหมดสติไม่หายใจ,2
พบคนเดินหลงทาง,1
มีคนทะเลาะกันเสียงดังมาก,1
ช่วยแนะนำที่เที่ยวหน่อย,0
สอบถามเรื่องการจัดส่งสินค้า,0
ช่วยแนะนำที่เที่ยวหน่อย,0
ควันออกจากรถ ไม่แน่ใจว่าเป็นอะไร,1
เลือดไหลไม่หยุด ช่วยด้วย,2
ได้ยินเสียงปืนแถวบ้าน,2
วันนี้รถติดมาก,0
อยากรู้สภาพอากาศวันนี้,0
พบคนเดินหลงทาง,1
ช่วยแนะนำที่เที่ยวหน่อย,0
เลือดไหลไม่หยุด ช่วยด้วย,2
หมาหาย ช่วยตามหาให้หน่อย,0
มีคนทะเลาะกันเสียงดังมาก,1
สอบถามเรื่องการจัดส่งสินค้า,0
หมาหาย ช่วยตามหาให้หน่อย,0
ร้านเปิดกี่โมงครับ,0
เด็กจมน้ำ รีบช่วยที,2
มีคนหมดสติไม่หายใจ,2
รถชนแรงมาก มีคนติดในรถ,2
หมาหาย ช่วยตามหาให้หน่อย,0
มีคนกำลังจะกระโดดจากตึก,2
ร้านเปิดกี่โมงครับ,0
ควันออกจากรถ ไม่แน่ใจว่าเป็นอะไร,1
หมาหาย ช่วยตามหาให้หน่อย,0
วันนี้รถติดมาก,0
พบคนเดินหลงทาง,1
มีคนหมดสติไม่หายใจ,2
อยากรู้สภาพอากาศวันนี้,0
ควันออกจากรถ ไม่แน่ใจว่าเป็นอะไร,1
วันนี้รถติดมาก,0
ช่วยแนะนำที่เที่ยวหน่อย,0
มีคนหมดสติไม่หายใจ,2
วันนี้รถติดมาก,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
ได้ยินเสียงร้องขอความช่วยเหลือเบาๆ,1
เด็กจมน้ำ รีบช่วยที,2
มีคนทะเลาะกันเสียงดังมาก,1
เด็กจมน้ำ รีบช่วยที,2
ไฟดับทั้งหมู่บ้าน,1
วันนี้รถติดมาก,0
รถชนแรงมาก มีคนติดในรถ,2
ร้านเปิดกี่โมงครับ,0
หมาหาย ช่วยตามหาให้หน่อย,0
วันนี้รถติดมาก,0
อยากรู้สภาพอากาศวันนี้,0
รถล้ม เจ็บนิดหน่อย แต่ต้องการความช่วยเหลือ,1
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ได้ยินเสียงร้องขอความช่วยเหลือเบาๆ,1
อยากรู้สภาพอากาศวันนี้,0
มีคนหมดสติไม่หายใจ,2
วันนี้รถติดมาก,0
วันนี้รถติดมาก,0
ร้านเปิดกี่โมงครับ,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
พบคนเดินหลงทาง,1
พบคนเดินหลงทาง,1
อยากรู้สภาพอากาศวันนี้,0
ร้านเปิดกี่โมงครับ,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
วันนี้รถติดมาก,0
วันนี้รถติดมาก,0
มีคนกำลังจะกระโดดจากตึก,2
ช่วยแนะนำที่เที่ยวหน่อย,0
มีคนกำลังจะกระโดดจากตึก,2
ถูกทำร้ายร่างกาย ขอความช่วยเหลือด่วน,2
ช่วยแนะนำที่เที่ยวหน่อย,0
วันนี้รถติดมาก,0
ช่วยแนะนำที่เที่ยวหน่อย,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ช่วยแนะนำที่เที่ยวหน่อย,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ช่วยแนะนำที่เที่ยวหน่อย,0
พบคนเดินหลงทาง,1
ไฟดับทั้งหมู่บ้าน,1
พบคนเดินหลงทาง,1
ร้านเปิดกี่โมงครับ,0
มีคนกำลังจะกระโดดจากตึก,2
ได้ยินเสียงร้องขอความช่วยเหลือเบาๆ,1
ถูกทำร้ายร่างกาย ขอความช่วยเหลือด่วน,2
ช่วยด้วย ไฟไหม้อาคาร,2
ขอข้อมูลร้านอาหารใกล้บ้าน,0
มีคนหมดสติไม่หายใจ,2
ช่วยแนะนำที่เที่ยวหน่อย,0
วันนี้รถติดมาก,0
สอบถามเรื่องการจัดส่งสินค้า,0
เลือดไหลไม่หยุด ช่วยด้วย,2
ช่วยแนะนำที่เที่ยวหน่อย,0
หมาหาย ช่วยตามหาให้หน่อย,0
รถชนแรงมาก มีคนติดในรถ,2
พบคนเดินหลงทาง,1
ช่วยด้วย ไฟไหม้อาคาร,2
อยากรู้สภาพอากาศวันนี้,0
ได้ยินเสียงร้องขอความช่วยเหลือเบาๆ,1
ขอข้อมูลร้านอาหารใกล้บ้าน,0
ร้านเปิดกี่โมงครับ,0
มีคนทะเลาะกันเสียงดังมาก,1
มีคนกำลังจะกระโดดจากตึก,2
ร้านเปิดกี่โมงครับ,0
หมาหาย ช่วยตามหาให้หน่อย,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
ไฟดับทั้งหมู่บ้าน,1
หมาหาย ช่วยตามหาให้หน่อย,0
กลิ่นแก๊สรั่ว ไม่แน่ใจเกิดอะไรขึ้น,1
หมาหาย ช่วยตามหาให้หน่อย,0
วันนี้รถติดมาก,0
วันนี้รถติดมาก,0
ขอข้อมูลร้านอาหารใกล้บ้าน,0
