text,label
Minor incident: บาดเจ็บสาหัส,1
ช่วยด้วย จมน้ำ,2
Gunshots heard near โรงรถ,2
อยากรู้ สภาพอากาศ หน่อย,0
อันตรายมาก บาดเจ็บสาหัส,2
วันนี้ สถานที่ท่องเที่ยว,0
วันนี้ สภาพอากาศ,0
อยากรู้ สถานที่ท่องเที่ยว หน่อย,0
Just asking about สถานที่ท่องเที่ยว,0
Looking for details about สภาพอากาศ,0
ขอข้อมูลเกี่ยวกับ ร้านอาหาร,0
Just asking about traffic,0
มีคนบาดเจ็บหนักที่ โรงรถ,2
Small accident: ทะเลาะวิวาท,1
มีควันออกจาก หน้าบ้าน,1
Today is สภาพอากาศ,0
อยากรู้ สถานที่ท่องเที่ยว หน่อย,0
มีคนบาดเจ็บหนักที่ the main street,2
Anyone knows about สภาพอากาศ?,0
Saw someone slightly injured near บนถนนใหญ่,1
Critical situation: รถชน,2
สอบถามเพิ่มเติมหน่อยครับ เรื่อง สถานที่ท่องเที่ยว,0
Smoke coming from the main street,1
I need info about promotion,0
Critical situation: จมน้ำ,2
Small accident: ทะเลาะวิวาท,1
มีใครรู้เรื่อง สภาพอากาศ ไหม,0
Gunshots heard near the main street,2
Critical situation: gas leak,2
Minor incident: บาดเจ็บสาหัส,1
เห็นคนเจ็บเล็กน้อย gas leak,1
Power outage in the mall,1
วันนี้ promotion,0
I need info about traffic,0
Small accident: building fire,1
Critical situation: บาดเจ็บสาหัส,2
อุบัติเหตุเล็กน้อย บาดเจ็บสาหัส,1
"We need urgent help, จมน้ำ",2
ช่วยด้วย รถชน,2
Looking for details about ร้านอาหาร,0
มีเหตุ gas leak ที่ ซอยข้างๆ,1
มีควันออกจาก บนถนนใหญ่,1
Looking for details about weather,0
อยากรู้ weather หน่อย,0
Anyone knows about ร้านอาหาร?,0
สอบถามเพิ่มเติมหน่อยครับ เรื่อง weather,0
Minor incident: ทะเลาะวิวาท,1
เจอเหตุฉุกเฉิน building fire,2
Anyone knows about promotion?,0
"We need urgent help, ไฟไหม้",2
อุบัติเหตุเล็กน้อย รถชน,1
Minor incident: บาดเจ็บสาหัส,1
Critical situation: รถชน,2
Today is ร้านอาหาร,0
Power outage in ห้างสรรพสินค้า,1
Anyone knows about สถานที่ท่องเที่ยว?,0
Just asking about ร้านอาหาร,0
ขอข้อมูลเกี่ยวกับ weather,0
จมน้ำ เกิดขึ้นด่วนมาก,2
Saw someone slightly injured near ซอยข้างๆ,1
อันตรายมาก building fire,2
มีใครรู้เรื่อง promotion ไหม,0
Small accident: จมน้ำ,1
Anyone knows about promotion?,0
มีคนบาดเจ็บหนักที่ บนถนนใหญ่,2
Looking for details about สภาพอากาศ,0
มีควันออกจาก the main street,1
มีคนบาดเจ็บหนักที่ โรงรถ,2
ไฟดับใน the main street,1
จมน้ำ เกิดขึ้นด่วนมาก,2
เห็นคนเจ็บเล็กน้อย จมน้ำ,1
Today is สถานที่ท่องเที่ยว,0
มีคนบาดเจ็บหนักที่ บนถนนใหญ่,2
เห็นคนเจ็บเล็กน้อย รถชน,1
Saw someone slightly injured near หน้าบ้าน,1
Small accident: building fire,1
Today is promotion,0
Someone is seriously injured at ห้างสรรพสินค้า,2
Looking for details about weather,0
Just asking about สถานที่ท่องเที่ยว,0
Anyone knows about weather?,0
เห็นคนเจ็บเล็กน้อย building fire,1
อยากรู้ สภาพอากาศ หน่อย,0
Looking for details about ร้านอาหาร,0
ขอข้อมูลเกี่ยวกับ ร้านอาหาร,0
Power outage in หน้าบ้าน,1
สอบถามเพิ่มเติมหน่อยครับ เรื่อง สภาพอากาศ,0
Today is สถานที่ท่องเที่ยว,0
Emergency! บาดเจ็บสาหัส happening now,2
Critical situation: gas leak,2
อยากรู้ weather หน่อย,0
Minor incident: building fire,1
Small accident: ไฟไหม้,1
ได้ยินเสียงปืนที่ ห้างสรรพสินค้า,2
Just asking about traffic,0
มีเหตุ ไฟไหม้ ที่ the main street,1
สอบถามเพิ่มเติมหน่อยครับ เรื่อง weather,0
Power outage in โรงรถ,1
อุบัติเหตุเล็กน้อย gas leak,1
อุบัติเหตุเล็กน้อย จมน้ำ,1
Saw someone slightly injured near the mall,1
สอบถามเพิ่มเติมหน่อยครับ เรื่อง weather,0
Looking for details about สภาพอากาศ,0
อยากรู้ สภาพอากาศ หน่อย,0
ขอข้อมูลเกี่ยวกับ weather,0
สอบถามเพิ่มเติมหน่อยครับ เรื่อง สภาพอากาศ,0
สอบถามเพิ่มเติมหน่อยครับ เรื่อง promotion,0
มีใครรู้เรื่อง traffic ไหม,0
Minor incident: gas leak,1
จมน้ำ เกิดขึ้นด่วนมาก,2
มีใครรู้เรื่อง สภาพอากาศ ไหม,0
อุบัติเหตุเล็กน้อย รถชน,1
Anyone knows about ร้านอาหาร?,0
Just asking about weather,0
มีควันออกจาก the mall,1
Small accident: ไฟไหม้,1
Anyone knows about สภาพอากาศ?,0
อยากรู้ สถานที่ท่องเที่ยว หน่อย,0
มีใครรู้เรื่อง สภาพอากาศ ไหม,0
ขอข้อมูลเกี่ยวกับ สภาพอากาศ,0
Just asking about สถานที่ท่องเที่ยว,0
Saw someone slightly injured near the mall,1
ขอข้อมูลเกี่ยวกับ traffic,0
Today is traffic,0
Gunshots heard near the mall,2
ช่วยด้วย gas leak,2
มีใครรู้เรื่อง สภาพอากาศ ไหม,0
Critical situation: จมน้ำ,2
มีใครรู้เรื่อง traffic ไหม,0
Anyone knows about สภาพอากาศ?,0
อยากรู้ สภาพอากาศ หน่อย,0
มีเหตุ gas leak ที่ บนถนนใหญ่,1
Saw someone slightly injured near หน้าบ้าน,1
มีใครรู้เรื่อง ร้านอาหาร ไหม,0
I need info about สถานที่ท่องเที่ยว,0
มีเหตุ บาดเจ็บสาหัส ที่ ห้างสรรพสินค้า,1
อุบัติเหตุเล็กน้อย building fire,1
"We need urgent help, ทะเลาะวิวาท",2
Someone is seriously injured at the main street,2
อยากรู้ promotion หน่อย,0
"We need urgent help, gas leak",2
Anyone knows about ร้านอาหาร?,0
Just asking about สถานที่ท่องเที่ยว,0
ได้ยินเสียงปืนที่ the main street,2
มีใครรู้เรื่อง traffic ไหม,0
Minor incident: ไฟไหม้,1
Saw someone slightly injured near the main street,1
Help! ทะเลาะวิวาท,2
อันตรายมาก building fire,2
อยากรู้ ร้านอาหาร หน่อย,0
Today is promotion,0
"We need urgent help, บาดเจ็บสาหัส",2
อุบัติเหตุเล็กน้อย severe car crash,1
"We need urgent help, รถชน",2
gas leak เกิดขึ้นด่วนมาก,2
มีใครรู้เรื่อง ร้านอาหาร ไหม,0
อุบัติเหตุเล็กน้อย building fire,1
Saw someone slightly injured near ห้างสรรพสินค้า,1
สอบถามเพิ่มเติมหน่อยครับ เรื่อง ร้านอาหาร,0
มีคนบาดเจ็บหนักที่ the mall,2
Small accident: รถชน,1
ขอข้อมูลเกี่ยวกับ สถานที่ท่องเที่ยว,0
อยากรู้ weather หน่อย,0
อยากรู้ ร้านอาหาร หน่อย,0
ขอข้อมูลเกี่ยวกับ สภาพอากาศ,0
มีควันออกจาก the main street,1
Looking for details about ร้านอาหาร,0
ได้ยินเสียงปืนที่ ซอยข้างๆ,2
ขอข้อมูลเกี่ยวกับ traffic,0
I need info about weather,0
Minor incident: severe car crash,1
Today is สภาพอากาศ,0
Anyone knows about สภาพอากาศ?,0
ขอข้อมูลเกี่ยวกับ weather,0
Power outage in ห้างสรรพสินค้า,1
Today is promotion,0
Today is สภาพอากาศ,0
Just asking about สถานที่ท่องเที่ยว,0
Looking for details about weather,0
I need info about สภาพอากาศ,0
Power outage in the mall,1
Minor incident: จมน้ำ,1
Critical situation: บาดเจ็บสาหัส,2
Just asking about promotion,0
เจอเหตุฉุกเฉิน gas leak,2
Someone is seriously injured at the main street,2
Today is สภาพอากาศ,0
เห็นคนเจ็บเล็กน้อย gas leak,1
มีควันออกจาก บนถนนใหญ่,1
อยากรู้ สถานที่ท่องเที่ยว หน่อย,0
มีควันออกจาก the main street,1
ไฟดับใน ซอยข้างๆ,1
มีเหตุ building fire ที่ บนถนนใหญ่,1
Saw someone slightly injured near โรงรถ,1
I need info about ร้านอาหาร,0
Gunshots heard near ซอยข้างๆ,2
Today is สภาพอากาศ,0
Today is weather,0
สอบถามเพิ่มเติมหน่อยครับ เรื่อง promotion,0
Smoke coming from the main street,1
Minor incident: ไฟไหม้,1
อุบัติเหตุเล็กน้อย รถชน,1
Power outage in the main street,1
I need info about weather,0
Anyone knows about weather?,0
Smoke coming from หน้าบ้าน,1
Saw someone slightly injured near ซอยข้างๆ,1
Critical situation: building fire,2
Saw someone slightly injured near ห้างสรรพสินค้า,1
Help! รถชน,2
Someone is seriously injured at หน้าบ้าน,2
Just asking about สภาพอากาศ,0
วันนี้ ร้านอาหาร,0
มีควันออกจาก หน้าบ้าน,1
Today is promotion,0
มีเหตุ บาดเจ็บสาหัส ที่ the mall,1
Anyone knows about สถานที่ท่องเที่ยว?,0
Saw someone slightly injured near the mall,1
ได้ยินเสียงปืนที่ the mall,2
มีใครรู้เรื่อง ร้านอาหาร ไหม,0
Anyone knows about promotion?,0
มีคนบาดเจ็บหนักที่ หน้าบ้าน,2
เห็นคนเจ็บเล็กน้อย จมน้ำ,1
Smoke coming from ซอยข้างๆ,1
Small accident: ไฟไหม้,1
Help! ทะเลาะวิวาท,2
ไฟดับใน หน้าบ้าน,1
Someone is seriously injured at the mall,2
Just asking about ร้านอาหาร,0
มีคนบาดเจ็บหนักที่ the main street,2
Minor incident: รถชน,1
เจอเหตุฉุกเฉิน severe car crash,2
Saw someone slightly injured near หน้าบ้าน,1
มีเหตุ ทะเลาะวิวาท ที่ บนถนนใหญ่,1
Help! ทะเลาะวิวาท,2
ขอข้อมูลเกี่ยวกับ promotion,0
เห็นคนเจ็บเล็กน้อย จมน้ำ,1
Gunshots heard near ซอยข้างๆ,2
Just asking about สภาพอากาศ,0
Just asking about สภาพอากาศ,0
อยากรู้ สภาพอากาศ หน่อย,0
อุบัติเหตุเล็กน้อย ไฟไหม้,1
I need info about promotion,0
Gunshots heard near หน้าบ้าน,2
วันนี้ สภาพอากาศ,0
วันนี้ สถานที่ท่องเที่ยว,0
Critical situation: จมน้ำ,2
Saw someone slightly injured near ห้างสรรพสินค้า,1
Today is สถานที่ท่องเที่ยว,0
ขอข้อมูลเกี่ยวกับ สถานที่ท่องเที่ยว,0
สอบถามเพิ่มเติมหน่อยครับ เรื่อง traffic,0
Small accident: ทะเลาะวิวาท,1
ไฟดับใน บนถนนใหญ่,1
มีใครรู้เรื่อง สภาพอากาศ ไหม,0
ช่วยด้วย severe car crash,2
Small accident: จมน้ำ,1
Small accident: building fire,1
อันตรายมาก ทะเลาะวิวาท,2
Today is weather,0
Smoke coming from the main street,1
Small accident: building fire,1
Power outage in the mall,1
วันนี้ สถานที่ท่องเที่ยว,0
Gunshots heard near บนถนนใหญ่,2
Gunshots heard near บนถนนใหญ่,2
Small accident: gas leak,1
Help! gas leak,2
Looking for details about promotion,0
Just asking about promotion,0
เห็นคนเจ็บเล็กน้อย ทะเลาะวิวาท,1
มีใครรู้เรื่อง weather ไหม,0
Small accident: จมน้ำ,1
ช่วยด้วย building fire,2
มีใครรู้เรื่อง traffic ไหม,0
severe car crash เกิดขึ้นด่วนมาก,2
ได้ยินเสียงปืนที่ บนถนนใหญ่,2
Someone is seriously injured at บนถนนใหญ่,2
I need info about traffic,0
มีคนบาดเจ็บหนักที่ ซอยข้างๆ,2
Power outage in ซอยข้างๆ,1
I need info about promotion,0
มีควันออกจาก โรงรถ,1
ไฟดับใน the main street,1
มีเหตุ ทะเลาะวิวาท ที่ the mall,1
Looking for details about weather,0
Saw someone slightly injured near โรงรถ,1
Today is traffic,0
ช่วยด้วย building fire,2
Someone is seriously injured at the mall,2
เจอเหตุฉุกเฉิน รถชน,2
มีใครรู้เรื่อง weather ไหม,0
Emergency! building fire happening now,2
Just asking about promotion,0
